normalization,hop_samples,arm,held_out_subject,macro_f1
global_train,240,safe_edabe_transfer,S9,0.7163087457206667
global_train,240,safe_scratch,S10,0.5081529002940001
global_train,240,safe_scratch,S11,0.20189468439733335
global_train,240,safe_scratch,S13,0.18209876543200001
global_train,240,safe_scratch,S14,0.23456790123500001
global_train,240,safe_scratch,S15,0.38456313456333335
global_train,240,safe_scratch,S16,0.664823646928
global_train,240,safe_scratch,S17,0.159420289855
global_train,240,safe_scratch,S2,0.49842385508
global_train,240,safe_scratch,S3,0.37745443856533334
global_train,240,safe_scratch,S4,0.568029938519
global_train,240,safe_scratch,S5,0.1202192473052
global_train,240,safe_scratch,S6,0.4694273766856667
global_train,240,safe_scratch,S7,0.19183285849933338
global_train,240,safe_scratch,S8,0.373083733464
global_train,240,safe_scratch,S9,0.7374018934996668
per_subject_z,1,safe_edabe_transfer,S10,0.6101411562910001
per_subject_z,1,safe_edabe_transfer,S11,0.6042088435503333
per_subject_z,1,safe_edabe_transfer,S13,0.7819892813896666
per_subject_z,1,safe_edabe_transfer,S14,0.5252484124886666
per_subject_z,1,safe_edabe_transfer,S15,0.8203823467556667
per_subject_z,1,safe_edabe_transfer,S16,0.683455809876
per_subject_z,1,safe_edabe_transfer,S17,0.4528433590173333
per_subject_z,1,safe_edabe_transfer,S2,0.8283128240516667
per_subject_z,1,safe_edabe_transfer,S3,0.630919052829
per_subject_z,1,safe_edabe_transfer,S4,0.43979005038066665
per_subject_z,1,safe_edabe_transfer,S5,0.9550750593956666
per_subject_z,1,safe_edabe_transfer,S6,0.860779506625
per_subject_z,1,safe_edabe_transfer,S7,0.7193929732496667
per_subject_z,1,safe_edabe_transfer,S8,0.6317419546390001
per_subject_z,1,safe_edabe_transfer,S9,0.901786917046
per_subject_z,1,safe_scratch,S10,0.560933833175
per_subject_z,1,safe_scratch,S11,0.578417406678
per_subject_z,1,safe_scratch,S13,0.8599445759100001
per_subject_z,1,safe_scratch,S14,0.4529255803323333
per_subject_z,1,safe_scratch,S15,0.7719883290813333
per_subject_z,1,safe_scratch,S16,0.7050253144693334
per_subject_z,1,safe_scratch,S17,0.44468948847000006
per_subject_z,1,safe_scratch,S2,0.813250699618
per_subject_z,1,safe_scratch,S3,0.501172768783
per_subject_z,1,safe_scratch,S4,0.5031689917403334
per_subject_z,1,safe_scratch,S5,0.8963704320613334
per_subject_z,1,safe_scratch,S6,0.8566844846273334
per_subject_z,1,safe_scratch,S7,0.6853084278226667
per_subject_z,1,safe_scratch,S8,0.684936746741
per_subject_z,1,safe_scratch,S9,0.8285125591996666
per_subject_z,4,safe_edabe_transfer,S10,0.5775496717346666
per_subject_z,4,safe_edabe_transfer,S11,0.612459202185
per_subject_z,4,safe_edabe_transfer,S13,0.7571083963606666
per_subject_z,4,safe_edabe_transfer,S14,0.51761072268
per_subject_z,4,safe_edabe_transfer,S15,0.7705402902820001
per_subject_z,4,safe_edabe_transfer,S16,0.7578914128803333
per_subject_z,4,safe_edabe_transfer,S17,0.517476220749
per_subject_z,4,safe_edabe_transfer,S2,0.8693373518076667
per_subject_z,4,safe_edabe_transfer,S3,0.6230673295076666
per_subject_z,4,safe_edabe_transfer,S4,0.4795147178706667
per_subject_z,4,safe_edabe_transfer,S5,0.9462671486346667
per_subject_z,4,safe_edabe_transfer,S6,0.8541226899993334
per_subject_z,4,safe_edabe_transfer,S7,0.702919849898
per_subject_z,4,safe_edabe_transfer,S8,0.695701689253
per_subject_z,4,safe_edabe_transfer,S9,0.8979278403186667
per_subject_z,4,safe_scratch,S10,0.600484877901
per_subject_z,4,safe_scratch,S11,0.588306419286
per_subject_z,4,safe_scratch,S13,0.8983129736403334
per_subject_z,4,safe_scratch,S14,0.4883180132793334
per_subject_z,4,safe_scratch,S15,0.787580162423
per_subject_z,4,safe_scratch,S16,0.8422659950553334
per_subject_z,4,safe_scratch,S17,0.21454051888133333
per_subject_z,4,safe_scratch,S2,0.7295233902330001
per_subject_z,4,safe_scratch,S3,0.47264766330333335
per_subject_z,4,safe_scratch,S4,0.45473308615700003
per_subject_z,4,safe_scratch,S5,0.8755807833323334
per_subject_z,4,safe_scratch,S6,0.894593177655
per_subject_z,4,safe_scratch,S7,0.6697704602523333
per_subject_z,4,safe_scratch,S8,0.6577106184876667
per_subject_z,4,safe_scratch,S9,0.8913441809453334
per_subject_z,60,safe_edabe_transfer,S10,0.5972134643133333
per_subject_z,60,safe_edabe_transfer,S11,0.680384479541
per_subject_z,60,safe_edabe_transfer,S13,0.8159927180273333
per_subject_z,60,safe_edabe_transfer,S14,0.392030996697
per_subject_z,60,safe_edabe_transfer,S15,0.9795392279523334
per_subject_z,60,safe_edabe_transfer,S16,0.7679222602803333
per_subject_z,60,safe_edabe_transfer,S17,0.42902596159166667
per_subject_z,60,safe_edabe_transfer,S2,0.8496783051840001
per_subject_z,60,safe_edabe_transfer,S3,0.5727297193706667
per_subject_z,60,safe_edabe_transfer,S4,0.451327433628
per_subject_z,60,safe_edabe_transfer,S5,0.9626030018483333
per_subject_z,60,safe_edabe_transfer,S6,0.8440335042863333
per_subject_z,60,safe_edabe_transfer,S7,0.6974519131386666
per_subject_z,60,safe_edabe_transfer,S8,0.6409828086973333
per_subject_z,60,safe_edabe_transfer,S9,0.9251951365303334
per_subject_z,60,safe_scratch,S10,0.6421297124313333
per_subject_z,60,safe_scratch,S11,0.515600365517
per_subject_z,60,safe_scratch,S13,0.707715813852
per_subject_z,60,safe_scratch,S14,0.48524541150533335
per_subject_z,60,safe_scratch,S15,0.9791887677793333
per_subject_z,60,safe_scratch,S16,0.8953732607123334
per_subject_z,60,safe_scratch,S17,0.25122654038866665
per_subject_z,60,safe_scratch,S2,0.6659151736950001
per_subject_z,60,safe_scratch,S3,0.41320848700900004
per_subject_z,60,safe_scratch,S4,0.451327433628
per_subject_z,60,safe_scratch,S5,0.8971173468353334
per_subject_z,60,safe_scratch,S6,0.906924432443
per_subject_z,60,safe_scratch,S7,0.5711532694316667
per_subject_z,60,safe_scratch,S8,0.5640570543726667
per_subject_z,60,safe_scratch,S9,0.9172507521526668
per_subject_z,240,safe_edabe_transfer,S10,0.6397779501746667
per_subject_z,240,safe_edabe_transfer,S11,0.5430550735816667
per_subject_z,240,safe_edabe_transfer,S13,0.7479302832243334
per_subject_z,240,safe_edabe_transfer,S14,0.3522856581476667
per_subject_z,240,safe_edabe_transfer,S15,0.9685185185186667
per_subject_z,240,safe_edabe_transfer,S16,0.721030785791
per_subject_z,240,safe_edabe_transfer,S17,0.35066538399866665
per_subject_z,240,safe_edabe_transfer,S2,0.7629034004766666
per_subject_z,240,safe_edabe_transfer,S3,0.44221522467133334
per_subject_z,240,safe_edabe_transfer,S4,0.448275862069
per_subject_z,240,safe_edabe_transfer,S5,0.9661097187413333
per_subject_z,240,safe_edabe_transfer,S6,0.8525544630803333
per_subject_z,240,safe_edabe_transfer,S7,0.633426661618
per_subject_z,240,safe_edabe_transfer,S8,0.5212264788353334
per_subject_z,240,safe_edabe_transfer,S9,0.9734487734486666
per_subject_z,240,safe_scratch,S10,0.6087276129376666
per_subject_z,240,safe_scratch,S11,0.3539954266523333
per_subject_z,240,safe_scratch,S13,0.6717856990093334
per_subject_z,240,safe_scratch,S14,0.5144038775616666
per_subject_z,240,safe_scratch,S15,0.9034311903876667
per_subject_z,240,safe_scratch,S16,0.780927118858
per_subject_z,240,safe_scratch,S17,0.19039221647900004
per_subject_z,240,safe_scratch,S2,0.694507138743
per_subject_z,240,safe_scratch,S3,0.3937119241463334
per_subject_z,240,safe_scratch,S4,0.448275862069
per_subject_z,240,safe_scratch,S5,0.8425280601746667
per_subject_z,240,safe_scratch,S6,0.9154524487856667
per_subject_z,240,safe_scratch,S7,0.5562495631993333
per_subject_z,240,safe_scratch,S8,0.4621414513203333
per_subject_z,240,safe_scratch,S9,0.9483943072176667
