dataset,n_configurations,scratch_min,scratch_max,scratch_sd,transfer_min,transfer_max,transfer_sd,sd_ratio_scratch_over_transfer,transfer_superior_cells,sign_test_p_one_sided_pooled
wesad,6,0.3665,0.6762,0.1191,0.5722,0.6964,0.0456,2.61,6,0.00171
wearable,7,0.4377,0.5273,0.034,0.5119,0.5471,0.0118,2.88,6,0.00171
